epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,2411.15,0.90445,1.02947,1.16432,0.88096,0.96013,0.98281,0.7437,0.82172,0.90798,1.12375,0.0002448,0.0002448,0.0002448
56,2455.21,0.76461,0.9731,1.03217,0.86594,0.95965,0.98164,0.74049,0.81229,0.93039,1.12476,0.000239593,0.000239593,0.000239593
57,2499.16,0.80914,1.03352,1.06698,0.8563,0.93882,0.97668,0.74473,0.78628,0.96913,1.14338,0.000234386,0.000234386,0.000234386
58,2543.2,0.84008,1.07064,1.09255,0.8465,0.93206,0.9697,0.75049,0.78835,0.98695,1.16114,0.000229178,0.000229178,0.000229178
59,2587.28,0.79629,1.00356,1.06819,0.92652,0.90738,0.98107,0.75562,0.78598,0.92026,1.12521,0.000223971,0.000223971,0.000223971
60,2631.5,0.81288,1.0221,1.09833,0.93331,0.92192,0.9786,0.7495,0.81098,0.89431,1.10601,0.000218763,0.000218763,0.000218763
61,2675.03,0.76411,0.95105,1.01265,0.96818,0.93851,0.99017,0.75923,0.80367,0.86064,1.09616,0.000213556,0.000213556,0.000213556
62,2718.99,0.79403,1.02049,1.06451,0.93604,0.97642,0.9876,0.78054,0.77613,0.81918,1.11617,0.000208349,0.000208349,0.000208349
63,2762.75,0.77927,0.9849,1.06211,0.93732,0.95815,0.98697,0.7959,0.74237,0.79556,1.12033,0.000203141,0.000203141,0.000203141
64,2806.58,0.74636,0.92385,1.04934,0.91341,0.97115,0.9865,0.80299,0.72823,0.78447,1.11554,0.000197934,0.000197934,0.000197934
65,2850.6,0.76128,0.91476,1.0489,0.94884,0.94119,0.98607,0.80197,0.7236,0.78232,1.10983,0.000192726,0.000192726,0.000192726
66,2894.74,0.70792,0.9193,1.01786,0.96533,0.92931,0.98544,0.79857,0.72745,0.77833,1.12414,0.000187519,0.000187519,0.000187519
67,2938.65,0.83413,0.99309,1.11551,0.93832,0.95888,0.98177,0.7925,0.73113,0.79921,1.10534,0.000182312,0.000182312,0.000182312
68,2982.14,0.76394,0.95797,1.06171,0.91693,0.97462,0.98164,0.78569,0.74524,0.81384,1.09594,0.000177104,0.000177104,0.000177104
69,3025.8,0.76818,0.93175,1.06631,0.93192,0.96719,0.98363,0.78242,0.74625,0.81626,1.10094,0.000171897,0.000171897,0.000171897
70,3069.55,0.73273,0.94882,1.02662,0.93462,0.94143,0.98068,0.78675,0.74018,0.82949,1.10189,0.000166689,0.000166689,0.000166689
71,3112.79,0.72932,0.88841,1.0293,0.91807,0.93785,0.97932,0.78636,0.73405,0.84889,1.1086,0.000161482,0.000161482,0.000161482
72,3156.21,0.73607,0.89666,1.02311,0.91958,0.9346,0.98139,0.78859,0.73744,0.84634,1.10378,0.000156275,0.000156275,0.000156275
73,3199.87,0.74144,0.85442,1.02191,0.95103,0.91642,0.98222,0.79102,0.74645,0.81665,1.09266,0.000151067,0.000151067,0.000151067
74,3243.54,0.71315,0.88668,1.0297,0.91167,0.97212,0.98207,0.78014,0.75907,0.79266,1.09548,0.00014586,0.00014586,0.00014586
75,3287.65,0.74592,0.97579,1.058,0.96191,0.97082,0.98641,0.7928,0.75242,0.7562,1.10151,0.000140652,0.000140652,0.000140652
76,3331.36,0.71125,0.86933,1.025,0.9662,0.97006,0.98804,0.7958,0.74952,0.75588,1.10191,0.000135445,0.000135445,0.000135445
77,3375.58,0.67209,0.82895,0.97933,0.95309,0.97273,0.98665,0.79722,0.74649,0.76004,1.09742,0.000130238,0.000130238,0.000130238
78,3420.03,0.76229,0.93464,1.0579,0.93833,0.98174,0.98641,0.79607,0.74304,0.76192,1.09375,0.00012503,0.00012503,0.00012503
79,3463.47,0.69292,0.83789,1.01998,0.94187,0.9846,0.98682,0.79811,0.73887,0.76228,1.08204,0.000119823,0.000119823,0.000119823
80,3507.85,0.68602,0.80937,0.99149,0.97977,0.93021,0.98701,0.80143,0.73365,0.75765,1.08111,0.000114615,0.000114615,0.000114615
81,3551.43,0.74633,0.87776,1.0478,0.98057,0.93511,0.98808,0.79991,0.73048,0.75594,1.078,0.000109408,0.000109408,0.000109408
82,3595.52,0.70553,0.8602,0.99879,0.96707,0.93972,0.98458,0.79691,0.73176,0.76616,1.0768,0.000104201,0.000104201,0.000104201
83,3638.81,0.6992,0.86809,1.00148,0.96437,0.93977,0.98682,0.80301,0.72404,0.76558,1.08286,9.89932e-05,9.89932e-05,9.89932e-05
84,3683.41,0.74135,0.8693,1.02207,0.96874,0.9375,0.98677,0.80549,0.72286,0.75254,1.09177,9.37858e-05,9.37858e-05,9.37858e-05
85,3727.52,0.75638,0.90342,1.04942,0.9431,0.96199,0.98713,0.8034,0.72226,0.74885,1.1006,8.85784e-05,8.85784e-05,8.85784e-05
86,3771.84,0.67088,0.80511,0.98069,0.94523,0.96061,0.98774,0.80373,0.72107,0.74015,1.09915,8.3371e-05,8.3371e-05,8.3371e-05
87,3815.93,0.70999,0.8396,1.03449,0.97918,0.94268,0.98786,0.8084,0.72117,0.7279,1.10187,7.81636e-05,7.81636e-05,7.81636e-05
